businessname,latitude,longitude
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,42.32608686677121,-71.06361196234216
Auntie Anne's Pretzels/ Carvel,42.35195868500647,-71.05502724058353
Buffalo Wild Wings Go/Sp. AS2-A18,42.364539333151285,-71.02181778282163
Burger King,34.244386753001244,-73.6513909034731
Burger King,42.309265153704665,-71.05775317571394
Burger King,42.35631361369498,-71.06192094875507
Burger King,42.36883243461128,-71.03932826829823
Burger King,42.35301796551194,-71.13497876705965
Burger King,42.33921949208055,-71.05095898205067
Burger King,42.26820347573987,-71.09577982327994
Burger King,42.262078075396296,-71.1085691449198
Burger King,42.3861663166383,-71.00953086689843
Burger King # 3483,42.26588887601696,-71.16795211651815
Burger King # 3531,42.27597672024672,-71.13916232653567
CALIFORNIA PIZZA KITCHEN,42.34715955305909,-71.08251052626302
Cava,42.35312267843186,-71.05742343463301
Cava,42.3438062449932,-71.09942432051079
Cava,42.34996954771853,-71.07884051121763
Cava,42.34729635619704,-71.08145798177236
CAVAN CAFE,42.25063278792885,-71.12572897783785
Chipotle Mexican Grill,42.33641979710481,-71.14957461841432
Chipotle Mexican Grill,42.32572327933986,-71.06222669430738
Chipotle Mexican Grill,42.35072854422868,-71.07608850394774
Chipotle Mexican Grill,42.351932513341445,-71.06700419985361
Chipotle Mexican Grill,42.351151687217,-71.04534917800716
Chipotle Mexican Grill #1520,42.35361952112114,-71.05824045702272
Chipotle Mexican Grille,42.35756251985023,-71.05842344914458
Cold Stone Creamery,42.34729635619704,-71.08145798177236
Domino's,42.38459944519232,-71.00029025778547
Domino's,42.25269461552626,-71.11868281891971
Domino's,42.36268712566029,-71.06304201930202
Domino's,42.29231961329077,-71.12155073714601
Domino's,42.27480087944333,-71.13987186766313
Domino's Pizza,42.2723395764855,-71.09324071791544
Domino's Pizza,42.33402951807706,-71.05504049426584
Domino's Pizza,34.244386753001244,-73.6513909034731
Domino's Pizza,42.377509529754384,-71.06670042338249
Domino's Pizza,42.35484961846642,-71.13375062428265
Domino's Pizza,42.34870206402008,-71.15895037278882
Domino's Pizza,42.34770791395037,-71.10582208160017
Double Tree Club Hotel/Starbucks,34.244386753001244,-73.6513909034731
Dunkin,42.36058352494875,-71.06210945031611
Dunkin,42.38253276113671,-71.07924841015598
DUNKIN',42.34980181822606,-71.0420219791483
DUNKIN',42.36093009032435,-71.06848666937024
DUNKIN',42.28359567979779,-71.11251491949447
DUNKIN',42.34964954907032,-71.0800105151719
Dunkin 2157- Terminal C Pre-Security,42.36661941846462,-71.01658968275854
DUNKIN DONUT,34.244386753001244,-73.6513909034731
DUNKIN DONUT,42.351179509553226,-71.04926044262815
Dunkin Donut (Arrival),34.244386753001244,-73.6513909034731
Dunkin Donut (Departures),34.244386753001244,-73.6513909034731
Dunkin Donuts,42.314145801464846,-71.03937282886666
Dunkin Donuts,42.3375773503705,-71.09021111816654
Dunkin Donuts,42.257869078651176,-71.1232112140207
Dunkin Donuts,42.30843053183802,-71.05803166495734
Dunkin Donuts,42.33195957387273,-71.09672059205678
Dunkin Donuts,42.35511038941339,-71.06300364999332
